date,game_label,player,rw_team,rw_projected,our_projected,actual_minutes,proj_source,rw_date_source
2026-07-19,Atlanta Dream vs Chicago Sky,Sydney Taylor,Chicago Sky,26.0,22.9,27.7,replay,inferred
2026-07-19,Atlanta Dream vs Chicago Sky,Angel Reese,Atlanta Dream,32.0,31.9,20.3,replay,inferred
2026-07-19,Dallas Wings vs Los Angeles Sparks,Jessica Shepard,Dallas Wings,33.0,34.9,38.5,replay,inferred
2026-07-19,Dallas Wings vs Los Angeles Sparks,Dearica Hamby,Los Angeles Sparks,30.0,32.7,25.2,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Alyssa Thomas,Phoenix Mercury,34.0,32.9,34.2,replay,inferred
2026-07-19,Atlanta Dream vs Chicago Sky,Azura Stevens,Chicago Sky,32.0,26.5,29.8,replay,inferred
2026-07-19,Dallas Wings vs Los Angeles Sparks,Azzi Fudd,Dallas Wings,31.0,34.3,32.6,replay,inferred
2026-07-19,Dallas Wings vs Los Angeles Sparks,Arike Ogunbowale,Dallas Wings,28.0,28.9,31.1,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Leila Lacan,Connecticut Sun,29.0,30.3,36.7,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Brittney Griner,Connecticut Sun,26.0,25.2,30.9,replay,inferred
2026-07-19,Dallas Wings vs Los Angeles Sparks,Rae Burrell,Los Angeles Sparks,27.0,33.0,28.1,replay,inferred
2026-07-19,Atlanta Dream vs Chicago Sky,Jordin Canada,Atlanta Dream,31.0,33.4,33.8,replay,inferred
2026-07-19,Atlanta Dream vs Chicago Sky,Natasha Cloud,Chicago Sky,32.0,28.5,32.2,replay,inferred
2026-07-19,Atlanta Dream vs Chicago Sky,Kamilla Cardoso,Chicago Sky,21.0,25.9,24.3,replay,inferred
2026-07-19,Dallas Wings vs Los Angeles Sparks,Ariel Atkins,Los Angeles Sparks,28.0,32.9,31.5,replay,inferred
2026-07-19,Dallas Wings vs Los Angeles Sparks,Cameron Brink,Los Angeles Sparks,18.0,18.4,20.6,replay,inferred
2026-07-19,Dallas Wings vs Los Angeles Sparks,Erica Wheeler,Los Angeles Sparks,28.0,32.0,35.2,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Olivia Nelson-Ododa,Connecticut Sun,22.0,24.9,26.1,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,DeWanna Bonner,Phoenix Mercury,26.0,27.3,28.6,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Aaliyah Edwards,Connecticut Sun,19.0,20.0,4.5,replay,inferred
2026-07-19,Atlanta Dream vs Chicago Sky,Courtney Vandersloot,Chicago Sky,20.0,20.6,21.3,replay,inferred
2026-07-19,Atlanta Dream vs Chicago Sky,Brionna Jones,Atlanta Dream,18.0,17.0,15.1,replay,inferred
2026-07-19,Atlanta Dream vs Chicago Sky,Naz Hillmon,Atlanta Dream,26.0,28.2,33.9,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Kennedy Burke,Connecticut Sun,24.0,21.4,19.7,replay,inferred
2026-07-19,Atlanta Dream vs Chicago Sky,Gabriela Jaquez,Chicago Sky,21.0,16.6,14.7,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Valeriane Ayayi,Phoenix Mercury,18.0,15.8,14.4,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Diamond Miller,Connecticut Sun,20.0,26.4,31.2,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Aneesah Morrow,Connecticut Sun,17.0,0.0,,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Monique Akoa Makani,Phoenix Mercury,17.0,24.1,32.2,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Natasha Mack,Phoenix Mercury,18.0,24.2,19.5,replay,inferred
2026-07-19,Dallas Wings vs Los Angeles Sparks,Awak Kuier,Dallas Wings,18.0,18.0,9.1,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Charlisse Leger-Walker,Connecticut Sun,20.0,27.9,28.6,replay,inferred
2026-07-19,Atlanta Dream vs Chicago Sky,Isobel Borlase,Atlanta Dream,16.0,15.0,11.5,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Alexa Held,Phoenix Mercury,17.0,,,,inferred
2026-07-19,Atlanta Dream vs Chicago Sky,Jacy Sheldon,Chicago Sky,18.0,20.0,19.5,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Noemie Brochant,Phoenix Mercury,20.0,22.5,23.1,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Sami Whitcomb,Phoenix Mercury,14.0,0.0,,replay,inferred
2026-07-19,Dallas Wings vs Los Angeles Sparks,Maddy Siegrist,Dallas Wings,12.0,13.2,11.9,replay,inferred
